"OBJECTID","CD_USO_SOL","CD_UNIDADE","ID_REGIAO","ID_PROJETO","PROJETO","CD_TALHAO","CARACTERIS","CARACTER_1","CICLO","ROTACAO","DATA_PLANT","LOCALIDADE","BACIA_HIDR","TIP_SOLO","ESPACAMENT","ESPECIE","SISTEMA_PR","MATERIAL_G","REGIME","DECLIVIDAD","TIPO_USO_S","DATA_REG","EST_REG","TIP_REG","VLR_AREA","PROJETO_IN","TIPOLOGIA","BIOMA","REGISTRO_S","TIPO_PRESE","SHAPE_AREA","SHAPE_LEN"
"618921",176178,1,11,"282","TAQUAREMBO","V00202","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",4.78,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,4.50809185744e-06,0.11682819771
"618922",176208,1,11,"282","TAQUAREMBO","V00306","Campo Seco","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",39.5,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.72707594896e-05,0.329937664851
"618923",176194,1,11,"282","TAQUAREMBO","V00307","Florestal (avançado)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.35,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.21724592283e-06,0.0230367191965
"618924",40399,1,11,"282","TAQUAREMBO","V00110","Campo Úmido","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",20.33,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581686","Natural APP",1.918886385e-05,0.172728987967
"618925",40400,1,11,"282","TAQUAREMBO","V00106","Campo Seco","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",22.67,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581687","A recuperar/Em recuperação APP",2.13880048677e-05,0.262202630296
"618926",176156,1,11,"282","TAQUAREMBO","E00201","Estrada Secundária","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",4.12,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.88912120302e-06,0.119602587064
"618927",176155,1,11,"282","TAQUAREMBO","E00301","Estrada Secundária","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.72,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.62650556416e-06,0.0469112261586
"501237",91188,1,11,"282","TAQUAREMBO","004C","Plantio Comercial","Produtivo",1,1,"2013/09/28","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","BENTHAMII","MINI ESTACA - EUCALIPTO","K1101","IMPLANTACAO",1,"Propria","2014/01/14","A","A",8.59,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,8.10092259171e-06,0.026558302022
"501238",87892,1,11,"282","TAQUAREMBO","004A","Plantio Comercial","Produtivo",1,1,"2013/09/28","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2013/07/30","A","A",31.65,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.98583827076e-05,0.078235479453
"501242",94035,1,11,"282","TAQUAREMBO","003E","Plantio Comercial","Produtivo",1,1,"2013/09/09","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2014/04/07","A","A",7.7,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,7.26110933021e-06,0.0257695183319
"501243",87891,1,11,"282","TAQUAREMBO","003A","Plantio Comercial","Produtivo",1,1,"2013/09/09","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","DUNNI","SEMENTE - EUCALIPTO","DUS00018","IMPLANTACAO",1,"Propria","2013/07/30","A","A",34.49,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.25445460341e-05,0.0766883585671
"501244",94036,1,11,"282","TAQUAREMBO","003F","Plantio Comercial","Produtivo",1,1,"2013/09/09","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","DUNNI","SEMENTE - EUCALIPTO","DUS00018","IMPLANTACAO",1,"Propria","2014/04/07","A","A",10.75,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.01470067622e-05,0.0199090081935
"501245",87896,1,11,"282","TAQUAREMBO","002A","Plantio Comercial","Produtivo",1,1,"2013/09/26","DOM PEDRITO","SANTA MARIA","RRD1","4X1,85","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2013/07/30","A","A",131.93,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,0.0001244657975,0.228438906717
"501253",75517,1,11,"282","TAQUAREMBO","E00101","Estrada Secundária","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,1,"Propria","2012/08/02","A","A",0.96,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581692",NA,9.08528094878e-07,0.0295539477908
"501239",87778,1,11,"282","TAQUAREMBO","004B","Plantio Comercial","Produtivo",1,1,"1996/06/15","DOM PEDRITO","SANTA MARIA","NAOID","3.00 x 3.00","SPP","SEMENTE - EUCALIPTO","SPS00000","IMPLANTACAO",1,"Propria","2013/07/18","A","A",0.72,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,6.83201197417e-07,0.00675355189326
"501240",94033,1,11,"282","TAQUAREMBO","003C","Plantio Comercial","Produtivo",1,1,"2013/09/09","DOM PEDRITO","SANTA MARIA","RRD1","3.5 x 2.14","DUNNI","SEMENTE - EUCALIPTO","K1103","IMPLANTACAO",1,"Propria","2014/04/07","A","A",5.55,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,5.23609736929e-06,0.0139900561524
"501246",87890,1,11,"282","TAQUAREMBO","001A","Plantio Comercial","Produtivo",1,1,"2013/09/23","DOM PEDRITO","SANTA MARIA","RRD1","4X1,85","DUNNI","SEMENTE - EUCALIPTO","DUS00018","IMPLANTACAO",1,"Propria","2013/07/30","A","A",11.77,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.11079769287e-05,0.0384433599161
"501247",91184,1,11,"282","TAQUAREMBO","002B","Aguardando Liberação","Solo por Plantar",1,1,"2020/05/04","DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,"IMPLANTACAO",1,"Propria","2014/01/14","A","A",0.38,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.61174907819e-07,0.00393173318796
"501233",87895,1,11,"282","TAQUAREMBO","007A","Plantio Comercial","Produtivo",1,1,"2013/11/26","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2013/07/30","A","A",28.21,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.66256474789e-05,0.0815906759372
"501234",94037,1,11,"282","TAQUAREMBO","007B","Plantio Comercial","Produtivo",1,1,"2013/11/26","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2014/04/07","A","A",1.37,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.2943365389e-06,0.00824828956602
"501235",87894,1,11,"282","TAQUAREMBO","006A","Plantio Comercial","Produtivo",1,1,"2013/11/25","DOM PEDRITO","SANTA MARIA","RRD1","4.00 x 1.50","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2013/07/30","A","A",2.13,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.01033843946e-06,0.0131199901648
"501236",87893,1,11,"282","TAQUAREMBO","005A","Plantio Comercial","Produtivo",1,1,"2013/11/25","DOM PEDRITO","SANTA MARIA","PVD2","4.00 x 1.50","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2013/07/30","A","A",30.34,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.86269809472e-05,0.0916222563778
"501311",78500,1,11,"282","TAQUAREMBO","U00102","Licenciamento Restrito","Solo por Plantar",1,1,"2015/09/28","DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,"IMPLANTACAO",1,"Propria","2012/08/02","A","A",129.68,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA","00632356",NA,0.000122383544983,0.197184054043
"501312",65267,1,11,"282","TAQUAREMBO","H00101","Lago Artificial","Recursos Hídricos",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2009/06/25","A","A",1.85,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581689",NA,1.74591516658e-06,0.00927688754786
"501314",40404,1,11,"282","TAQUAREMBO","V00107","Afloramento Rochoso","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",0.73,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581695","Natural RL",6.85105443792e-07,0.012727416631
"501270",76504,1,11,"282","TAQUAREMBO","E00102","Aceiro","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,1,"Propria","2012/08/02","A","A",1.69,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00632357",NA,1.59432344526e-06,0.0249897071162
"501315",40401,1,11,"282","TAQUAREMBO","V00104","Florestal (avançado)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",4.69,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581690","Natural APP",4.42428676291e-06,0.0237007792549
"501316",40402,1,11,"282","TAQUAREMBO","V00101","Florestal (inicial)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",0.16,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581691","Natural RL",1.49462075107e-07,0.00512534959947
"501317",40403,1,11,"282","TAQUAREMBO","V00109","Campo Úmido","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",5.01,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581693","Natural RL",4.73095300528e-06,0.0596727416343
"501282",94034,1,11,"282","TAQUAREMBO","003D","Plantio Comercial","Produtivo",1,1,"2013/09/09","DOM PEDRITO","SANTA MARIA","PVD2","4X1,85","BENTHAMII","SEMENTE - EUCALIPTO","EBC06CAN","IMPLANTACAO",1,"Propria","2014/04/07","A","A",9.53,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,8.99575043429e-06,0.0341210278102
"501318",40407,1,11,"282","TAQUAREMBO","V00103","Florestal (avançado)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",3.03,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581698","Natural RL",2.86318010789e-06,0.0266148048528
"501283",94032,1,11,"282","TAQUAREMBO","002D","Plantio Comercial","Produtivo",1,1,"2013/09/26","DOM PEDRITO","SANTA MARIA","RRD1","3.5 x 2.14","BENTHAMII","SEMENTE - EUCALIPTO","K1101","IMPLANTACAO",1,"Propria","2014/04/07","A","A",15.34,"Expansão GB - FAIXA DE FRONTEIRA","EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.44721507839e-05,0.0244475829337
"502956",176199,1,11,"282","TAQUAREMBO","V00405","Campo Seco","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.26,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.18547882518e-06,0.0134887980653
"502957",176200,1,11,"282","TAQUAREMBO","V00506","Campo Seco","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",3.24,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.0573243092e-06,0.0375918014588
"502958",176162,1,11,"282","TAQUAREMBO","V00701","Florestal (inicial)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.04,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,9.81392374635e-07,0.015052997362
"502953",176159,1,11,"282","TAQUAREMBO","V00503","Campo Úmido","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.2,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.91740594171e-07,0.00711131001558
"502959",176163,1,11,"282","TAQUAREMBO","V00601","Florestal (inicial)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.23,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.14778363909e-07,0.00561944397505
"502994",176190,1,11,"282","TAQUAREMBO","V00504","Florestal (inicial)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.85,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,8.03839376656e-07,0.0108820465595
"502995",176191,1,11,"282","TAQUAREMBO","V00704","Florestal (inicial)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.34,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.17082690529e-07,0.00587627504771
