"temp","storage","rep","development"
0,5,"r1",0
0,5,"r2",23
0,5,"r3",22
0,5,"r4",27
0,5,"r5",24
0,5,"r6",25
0,5,"r7",24
0,5,"r8",22
0,5,"r9",0
0,5,"r10",22
0,5,"r11",22
0,5,"r12",26
0,5,"r13",24
0,5,"r14",26
0,5,"r15",24
0,5,"r16",24
0,5,"r17",26
0,5,"r18",23
0,5,"r19",26
0,5,"r20",22
0,10,"r1",25
0,10,"r2",0
0,10,"r3",0
0,10,"r4",21
0,10,"r5",22
0,10,"r6",22
0,10,"r7",22
0,10,"r8",20
0,10,"r9",20
0,10,"r10",0
0,10,"r11",23
0,10,"r12",21
0,10,"r13",0
0,10,"r14",0
0,10,"r15",22
0,10,"r16",24
0,10,"r17",16
0,10,"r18",20
0,10,"r19",19
0,10,"r20",25
0,15,"r1",0
0,15,"r2",21
0,15,"r3",21
0,15,"r4",0
0,15,"r5",0
0,15,"r6",28
0,15,"r7",22
0,15,"r8",0
0,15,"r9",21
0,15,"r10",25
0,15,"r11",25
0,15,"r12",0
0,15,"r13",19
0,15,"r14",25
0,15,"r15",21
0,15,"r16",0
0,15,"r17",0
0,15,"r18",0
0,15,"r19",0
0,15,"r20",23
0,20,"r1",0
0,20,"r2",21
0,20,"r3",21
0,20,"r4",0
0,20,"r5",0
0,20,"r6",21
0,20,"r7",0
0,20,"r8",20
0,20,"r9",0
0,20,"r10",24
0,20,"r11",0
0,20,"r12",0
0,20,"r13",22
0,20,"r14",24
0,20,"r15",23
0,20,"r16",0
0,20,"r17",0
0,20,"r18",0
0,20,"r19",27
0,20,"r20",22
0,30,"r1",0
0,30,"r2",0
0,30,"r3",0
0,30,"r4",0
0,30,"r5",0
0,30,"r6",0
0,30,"r7",0
0,30,"r8",21
0,30,"r9",0
0,30,"r10",27
0,30,"r11",0
0,30,"r12",0
0,30,"r13",29
0,30,"r14",0
0,30,"r15",25
0,30,"r16",0
0,30,"r17",29
0,30,"r18",0
0,30,"r19",0
0,30,"r20",25
2.5,5,"r1",22
2.5,5,"r2",21
2.5,5,"r3",22
2.5,5,"r4",0
2.5,5,"r5",20
2.5,5,"r6",23
2.5,5,"r7",25
2.5,5,"r8",21
2.5,5,"r9",22
2.5,5,"r10",0
2.5,5,"r11",0
2.5,5,"r12",26
2.5,5,"r13",22
2.5,5,"r14",22
2.5,5,"r15",0
2.5,5,"r16",26
2.5,5,"r17",0
2.5,5,"r18",22
2.5,5,"r19",26
2.5,5,"r20",23
2.5,10,"r1",0
2.5,10,"r2",26
2.5,10,"r3",0
2.5,10,"r4",26
2.5,10,"r5",26
2.5,10,"r6",27
2.5,10,"r7",29
2.5,10,"r8",27
2.5,10,"r9",0
2.5,10,"r10",27
2.5,10,"r11",0
2.5,10,"r12",25
2.5,10,"r13",25
2.5,10,"r14",26
2.5,10,"r15",24
2.5,10,"r16",0
2.5,10,"r17",24
2.5,10,"r18",22
2.5,10,"r19",0
2.5,10,"r20",23
2.5,15,"r1",0
2.5,15,"r2",17
2.5,15,"r3",0
2.5,15,"r4",0
2.5,15,"r5",0
2.5,15,"r6",0
2.5,15,"r7",0
2.5,15,"r8",0
2.5,15,"r9",0
2.5,15,"r10",0
2.5,15,"r11",0
2.5,15,"r12",21
2.5,15,"r13",0
2.5,15,"r14",0
2.5,15,"r15",0
2.5,15,"r16",0
2.5,15,"r17",0
2.5,15,"r18",0
2.5,15,"r19",27
2.5,15,"r20",0
2.5,20,"r1",0
2.5,20,"r2",0
2.5,20,"r3",0
2.5,20,"r4",0
2.5,20,"r5",0
2.5,20,"r6",0
2.5,20,"r7",0
2.5,20,"r8",0
2.5,20,"r9",0
2.5,20,"r10",0
2.5,20,"r11",0
2.5,20,"r12",0
2.5,20,"r13",0
2.5,20,"r14",0
2.5,20,"r15",0
2.5,20,"r16",0
2.5,20,"r17",0
2.5,20,"r18",0
2.5,20,"r19",24
2.5,20,"r20",23
2.5,30,"r1",0
2.5,30,"r2",0
2.5,30,"r3",0
2.5,30,"r4",0
2.5,30,"r5",0
2.5,30,"r6",0
2.5,30,"r7",0
2.5,30,"r8",0
2.5,30,"r9",0
2.5,30,"r10",0
2.5,30,"r11",0
2.5,30,"r12",0
2.5,30,"r13",0
2.5,30,"r14",0
2.5,30,"r15",0
2.5,30,"r16",0
2.5,30,"r17",0
2.5,30,"r18",0
2.5,30,"r19",0
2.5,30,"r20",0
7.5,5,"r1",21
7.5,5,"r2",22
7.5,5,"r3",28
7.5,5,"r4",25
7.5,5,"r5",22
7.5,5,"r6",24
7.5,5,"r7",22
7.5,5,"r8",19
7.5,5,"r9",25
7.5,5,"r10",24
7.5,5,"r11",18
7.5,5,"r12",24
7.5,5,"r13",24
7.5,5,"r14",22
7.5,5,"r15",22
7.5,5,"r16",22
7.5,5,"r17",0
7.5,5,"r18",29
7.5,5,"r19",24
7.5,5,"r20",24
7.5,10,"r1",22
7.5,10,"r2",0
7.5,10,"r3",23
7.5,10,"r4",0
7.5,10,"r5",20
7.5,10,"r6",31
7.5,10,"r7",21
7.5,10,"r8",0
7.5,10,"r9",0
7.5,10,"r10",22
7.5,10,"r11",20
7.5,10,"r12",0
7.5,10,"r13",20
7.5,10,"r14",26
7.5,10,"r15",25
7.5,10,"r16",20
7.5,10,"r17",26
7.5,10,"r18",21
7.5,10,"r19",0
7.5,10,"r20",21
7.5,15,"r1",29
7.5,15,"r2",0
7.5,15,"r3",20
7.5,15,"r4",24
7.5,15,"r5",0
7.5,15,"r6",0
7.5,15,"r7",21
7.5,15,"r8",22
7.5,15,"r9",24
7.5,15,"r10",22
7.5,15,"r11",23
7.5,15,"r12",23
7.5,15,"r13",0
7.5,15,"r14",0
7.5,15,"r15",23
7.5,15,"r16",23
7.5,15,"r17",0
7.5,15,"r18",0
7.5,15,"r19",0
7.5,15,"r20",0
7.5,20,"r1",0
7.5,20,"r2",0
7.5,20,"r3",25
7.5,20,"r4",0
7.5,20,"r5",0
7.5,20,"r6",23
7.5,20,"r7",0
7.5,20,"r8",0
7.5,20,"r9",23
7.5,20,"r10",24
7.5,20,"r11",21
7.5,20,"r12",0
7.5,20,"r13",0
7.5,20,"r14",24
7.5,20,"r15",0
7.5,20,"r16",0
7.5,20,"r17",21
7.5,20,"r18",0
7.5,20,"r19",0
7.5,20,"r20",0
7.5,30,"r1",0
7.5,30,"r2",28
7.5,30,"r3",27
7.5,30,"r4",0
7.5,30,"r5",0
7.5,30,"r6",0
7.5,30,"r7",0
7.5,30,"r8",0
7.5,30,"r9",0
7.5,30,"r10",22
7.5,30,"r11",0
7.5,30,"r12",0
7.5,30,"r13",25
7.5,30,"r14",0
7.5,30,"r15",26
7.5,30,"r16",25
7.5,30,"r17",0
7.5,30,"r18",0
7.5,30,"r19",0
7.5,30,"r20",0
25,5,"r1",23
25,5,"r2",20
25,5,"r3",23
25,5,"r4",20
25,5,"r5",24
25,5,"r6",22
25,5,"r7",23
25,5,"r8",22
25,5,"r9",25
25,5,"r10",0
25,5,"r11",21
25,5,"r12",21
25,5,"r13",19
25,5,"r14",21
25,5,"r15",23
25,5,"r16",22
25,5,"r17",22
25,5,"r18",19
25,5,"r19",22
25,5,"r20",0
25,10,"r1",21
25,10,"r2",21
25,10,"r3",22
25,10,"r4",0
25,10,"r5",23
25,10,"r6",24
25,10,"r7",23
25,10,"r8",0
25,10,"r9",23
25,10,"r10",20
25,10,"r11",20
25,10,"r12",20
25,10,"r13",23
25,10,"r14",22
25,10,"r15",21
25,10,"r16",20
25,10,"r17",20
25,10,"r18",20
25,10,"r19",19
25,10,"r20",20
25,15,"r1",25
25,15,"r2",0
25,15,"r3",22
25,15,"r4",20
25,15,"r5",21
25,15,"r6",20
25,15,"r7",20
25,15,"r8",21
25,15,"r9",20
25,15,"r10",20
25,15,"r11",22
25,15,"r12",22
25,15,"r13",19
25,15,"r14",21
25,15,"r15",21
25,15,"r16",19
25,15,"r17",19
25,15,"r18",21
25,15,"r19",20
25,15,"r20",19
25,20,"r1",24
25,20,"r2",19
25,20,"r3",20
25,20,"r4",21
25,20,"r5",19
25,20,"r6",20
25,20,"r7",0
25,20,"r8",21
25,20,"r9",20
25,20,"r10",21
25,20,"r11",20
25,20,"r12",21
25,20,"r13",0
25,20,"r14",22
25,20,"r15",20
25,20,"r16",22
25,20,"r17",21
25,20,"r18",20
25,20,"r19",21
25,20,"r20",21
25,30,"r1",25
25,30,"r2",24
25,30,"r3",20
25,30,"r4",20
25,30,"r5",20
25,30,"r6",20
25,30,"r7",24
25,30,"r8",22
25,30,"r9",21
25,30,"r10",0
25,30,"r11",21
25,30,"r12",20
25,30,"r13",23
25,30,"r14",22
25,30,"r15",20
25,30,"r16",22
25,30,"r17",21
25,30,"r18",25
25,30,"r19",22
25,30,"r20",22
